name_of_Dish,Diet_Type,Course_name,Discrption_of_Dish,Cuisine_name,Ratings_of_Dish,Similar_Dishes,Ingredients_of_Dish,Prepration_time,Cooking_time,Total_time,Makes,Recipe_Instructions
Gujarati Lasaniya Batata Recipe - Garlic Potato Curry,Diet: Vegetarian,Course: Side Dish,"Lasaniya Batata Recipe (Garlic Potato Curry) is a flavorful Gujarati potato curry with prominent garlic flavors. Gujarati lehsunia batata is a dry curry made with boiled baby potatoes and flavoured with garlic, but the consistency can be moderated as per one's choice.",['Cuisine: Gujarati Recipes\ufeff'],4.9,"['Chatpata Baby Potato Recipe', 'Bhaji Miligai And Baby Potato Fry Recipe', 'Choto Aloor Dum Recipe (Bengali Style Baby Potato Stir Fry)', 'Baby Potato Theeyal Recipe(Kerala Style Potatoes In Shallots And Roasted Coconut Recipe)']","['Baby Potatoes', 'Garlic', 'Oil', 'Cumin seeds (Jeera)', 'Gram flour (besan)', 'Coriander Powder (Dhania)', 'Garam masala powder', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Curd (Dahi / Yogurt)', 'Salt', 'Coriander (Dhania) Leaves']",20 M, 25 M, 45 M, 2 Servings,"['To begin making the Gujarati Lasaniya Batata Recipe (Garlic Potato Curry), boil and peel the baby potatoes and keep aside.', 'Heat oil in a heavy bottomed pan and fry till golden on medium heat.', 'In the same wok heat 2 tablespoons of oil, add cumin seeds and wait till they crackle.\xa0Add chopped garlic and sauté for a while.', 'Now add gram flour and cook for another five minutes on a slow heat.', 'Add coriander powder, garam masala powder, red chilli powder, turmeric powder and cook for another minute.', 'Remove the wok from heat and then add whisked yogurt, a little water and place the wok on fire again and cook.', 'When the curry starts to thicken add fried baby potatoes and mix well such that the masala coats well.', 'Season with salt as needed and turn off the gas.', 'Garnish with chopped coriander and serve hot.\xa0Serve\xa0Gujarati Lasaniya Batata\xa0along with\xa0Palak Dal,\xa0Lauki Raita\xa0and\xa0Phulka\xa0for an everyday meal.']"
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom ,Diet: High Protein Vegetarian,Course: Lunch,The Palak Mushroom Makhani Recipe is a creamy and healthy preparation of spinach that is simmered along with spices and roasted mushrooms.,['Cuisine: North Indian Recipes'],4.9,"['Dhingri Matar Recipe (Mushrooms and Peas Spicy Curry)', 'Peppery Mushroom Biryani Recipe', 'Baby Corn Tikka Masala Recipe with Mushroom, Cauliflower & Peppers']","['Button mushrooms', 'Spinach Leaves (Palak)', 'Tomato', 'Garlic', 'Ginger', 'Green Chillies', 'Cumin seeds (Jeera)', 'Cinnamon Stick (Dalchini)', 'Cumin powder (Jeera)', 'Turmeric powder (Haldi)', 'Garam masala powder', 'Fresh cream', 'Ghee', 'Salt']",10 M, 30 M, 40 M, 4 Servings,"['To begin making the Palak Mushroom Makhani Recipe, we will first steam the washed and chopped spinach.', 'Add the chopped spinach, tomatoes, green chillies, ginger and garlic into the pressure cooker, add 2 tablespoons water and pressure cook for one whistle. After the first whistle, release the pressure immediately by running it under cold water. This helps to retain the fresh green color of the spinach/ palak.', 'Once cooked allow the palak to cool completely and then pulse it in your blender, with almost no water. You can also choose to mash the spinach with a masher to give it a different texture as well.', 'Melt the ghee in a frying pan on medium heat; add cumin seeds and the cinnamon stick. Saute the ingredients for a few seconds.\xa0 Stir in the turmeric powder and sauté for a few seconds and add the mushrooms.', 'Roast the mushroom, along with a little salt until just about cooked. Stir in the garam masala as well and saute for a few seconds.', 'Once the mushrooms are cooked, add the cooked palak puree, the fresh cream, any more salt if required.', 'Give the\xa0Palak Mushroom Makhani a brisk boil for about 2 to 3 minutes and turn off the heat. Transfer the Palak Mushroom Makhani to as serving bowl and serve hot.', 'Serve the\xa0Palak Mushroom Makhani Recipe\xa0along with hot\xa0Phulkas\xa0smeared with ghee,\xa0Jeera pulao\xa0and a raita for lunch or dinner. You can also pack the\xa0Palak Mushroom Makhani Recipe\xa0along with\xa0Phulkas\xa0into a kids lunch box.']"
Grilled Peri Peri Paneer Recipe Using Nando's Lemon And Herb Sauce,Diet: Vegetarian,Course: Dinner,The Grilled Peri Peri Paneer that is made from Nando's Lemon and Herb Sauce make a wholesome weeknight dinner along with some herbed rice and steamed vegetables. The grilled paneer after marination when tossed in the Nando's Lemon and Herb Sauce gives it a great taste that makes cooking dinner easy. You can optionally also prepare your own lemon herb sauce.,['Cuisine: Continental'],4.9,"['Paneer Makhani Recipe', 'Mushroom, Paneer And Soya Chunk Samosa Recipe', 'Palak Paneer (Spinach in Cottage Cheese Gravy)']","['Paneer (Homemade Cottage Cheese)', ""Nando's Lemon And Herb Sauce"", 'Oil', 'Carrots (Gajjar)', 'Green peas (Matar)', 'Garlic', 'Lemon juice', 'Extra Virgin Olive Oil', 'Whole Black Peppercorns', 'Cayenne Pepper', 'Parsley leaves', 'Coriander (Dhania) Leaves', 'Dried Thyme Leaves', 'Dried oregano', 'Salt']",15 M, 30 M, 45 M, 4 Servings,"['To begin making the\xa0Grilled Peri Peri Paneer we will first make the\xa0Lemon and Herb Sauce if you are not using the store bought sauce. Combine all the ingredients listed\xa0*Ingredients for Homemade Lemon and Herb Sauce in a blender and pulse to make a sauce. Once done, keep the sauce aside.', 'Steam the carrot and peas, toss it in salt and pepper and keep aside.', 'To grill the paneer, cut it into 2 or 4 rectangular slabs of 2 inch by 2 inch thick slices.', ""Marinate the paneer with the homemade lemon and herb sauce or with the\xa0Nando's Lemon and Herb Peri Peri Sauce\xa0for about 15 to 20 minutes."", 'The next step is to grill the paneer. Grease and preheat a cast iron grill pan on medium heat.', 'Place the marinated paneer slabs and keep the marination sauce aside . Grill the paneer on both sides until golden brown and you can see the grill marks on the paneer.', 'Once done, remove from heat and place it on the serving platter and serve.', 'Serve Grilled Peri Peri Paneer along with the steamed vegetables and herbed rice for a wholesome weeknight dinner.']"
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry ,Diet: Vegetarian,Course: Lunch,"Mangalorean Style Sonay Sukhe is a very important dish for every Mangalorean meal plate. The preparation starts by tempering the mustard seeds, curry leaves, onion and garlic which is called as “Sukka”. It is used in most of the south Indian language in regions like Konkani, Karnataka and Mangalore.  You can as well use the same method in this recipe for many other legumes such as black channa, black eyed peas etc.",['Cuisine: Mangalorean'],4.9,"['Mangalorean Manoli Curry Recipe (Indian Gherkins Curry', 'Mangalorean Padengi Ghassi Recipe (Sprouted Moong Dal Curry)', 'Goli baje Recipe (Mangalorean Vada Recipe)']","['Kabuli Chana (White Chickpeas)', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Cloves (Laung)', 'Onion', 'Fresh coconut', 'Tamarind Water', 'Oil', 'Salt', 'Byadagi Dried Chillies', 'Coriander (Dhania) Seeds', 'Cumin seeds (Jeera)', 'Whole Black Peppercorns', 'Turmeric powder (Haldi)']",10 M, 45 M, 55 M, 4 Servings,"['To begin making the Mangalorean Style Sonay Sukhe, soak the chickpeas in water for at least 8 hours or overnight.', 'Pressure cook the chickpeas with water so that it is fully immersed and cook till done. This will take about 25 minutes. Once done switch off the heat and leave it to rest, the pressure will be released by itself. Drain the water away and keep the chickpeas aside.', 'In a small pan; roast the ingredients for the Bafat powder including byadagi red chillies, coriander seeds, cumin seeds, whole black peppercorns, turmeric powder until you get a good roasted aroma from the coriander seeds. Turn off the heat, cool and grind into a fine powder.', 'Heat a kadai with oil, add mustard seeds and allow it to crackle, add curry leaves and wait for 5 seconds.', 'Add the chopped onions, grated coconut and garlic, sauté till the onions are brown. Add\xa0bafat powder mix to the sautéed onions and mix well.', 'Once the spice powder is added, add the cooked chickpea along with the tamarind water and keep sautéing till the water is evaporated and you will get a dry dish. \xa0Check the salt and seasonings and adjust to suit your taste.', 'Serve the Mangalorean Style Sonay Sukhe along with\xa0Kori Gassi\xa0and\xa0Neer Dosa\xa0as\xa0your sunday meal for your family.']"
Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Diet: Non Vegeterian,Course: Main Course,Andhra Pepper Chicken Recipe is a delicious chicken recipe famous across most Andhra Non Veg Restaurants. which you can serve either as a starter or as a side dish along with your meal. The  ,['Cuisine: Andhra'],4.9,"['Creamy Butter Chicken Recipe', 'Chettinad Pepper Chicken Dry Recipe', 'Goan Chicken Stew Recipe']","['Chicken', 'Garlic', 'Ginger', 'Lemon', 'Turmeric powder (Haldi)', 'Salt', 'Onion', 'Garlic', 'Ginger', 'Green Chillies', 'Salt', 'Curry leaves', 'Whole Black Peppercorns', 'Coriander Powder (Dhania)', 'Oil', 'Coriander (Dhania) Leaves', 'Whole Black Pepper Corns', 'Lemon juice']",20 M, 20 M, 40 M, 4 Servings,"['To begin making Andhra Pepper Chicken Recipe, prep all the ingredients and keep ready.', 'For the marination, make the paste of the ginger and garlic. You can use the mixer grinder or a pestle and mortar to make the paste.', 'Into a large mixing now, add the chicken pieces along with bones, turmeric powder, ginger garlic paste, lemon juice and salt. Mix well to combine. Cover the pan, place it in the refrigerator and marinate the chicken for 30 minutes.', 'To make the Andhra Pepper Chicken, in a large wok or a kadai or a deep pan preheat the oil over medium heat.', 'Add the sliced onion, sliced green chillies, chopped ginger and chopped garlic and saute until the onion softens and turns slightly brown. Stir in the curry leaves', 'Once the onions start to brown, add the marinated chicken and saute for about 2 minutes with the onion ginger garlic masala.', 'After couple of minutes, add the coriander powder and crushed pepper.\xa0 Stir well, cover the pan and cook on low heat until the Andhra Pepper Chicken comes together from sides of the pan.', 'Keep stirring intermittently and sprinkle water as and when required to cook the chicken.', 'Cook until the Andhra Pepper Chicken until it is tender and cooked. Once the chicken is soft cooked, open the lid and stir on medium heat until the moisture evaporated to make it dry.', 'Just before you are ready to serve add another 1 teaspoon crushed pepper, 1 teaspoon lemon juice and chopped coriander leaves and give it a stir.', 'Serve\xa0Andhra Pepper Chicken Recipe along with\xa0Steamed rice\xa0and\xa0Andhra Style Pappu Charu Recipe\xa0for a delicious lunch or dinner.']"
Avocado Mint Soup Recipe,Diet: Vegetarian,Course: Appetizer,"Climate is cloudy these days and we generally prefer to have hot piping soups for dinner. I generally make something which is very filling and healthy. Avocado Mint soup is one such soup which I discovered few months back and now this has become a part of our regular dishes. Naturally nutty flavoured avocado is blended with fried onion, ginger & garlic. The mix is then combined with olive oil marinated crushed mint leaves and cooked as a soup consistency. The soup is finally served with Whole wheat croutons.",['Cuisine: Continental'],4.9,"['Guacamole Soup Recipe', 'Tomato Noodle Soup Recipe', 'Cumin Spiced Potato And Leek Soup Recipe']","['Avocados', 'Garlic', 'Ginger', 'Onion', 'Mint Leaves (Pudina)', 'Extra Virgin Olive Oil', 'Fresh Red chillies']","5 M
", 20 M, 25 M, 2 Servings,"['To begin making the Avocado Mint Soup recipe, take a saucepan, add the required olive oil and saute garlic, red chilli and onion. Allow it to cool.', 'Blend avocado and the fried onion, garlic and chilli mix with ¾ cup of water in a blender.', 'Pour the puree into the pan and add salt and the remaining water and let it boil in low flame.', 'Switch of the gas once you see the soup becoming frothy.', 'Take a hand mortar, add 1 spoon of olive oil and mint leaves and grind it nicely. Add the mint mix into the soup.', 'Soup is ready to be served. Serve Avocado Mint Soup along with\xa0Garlic Bread\xa0for a healthy and light dinner.']"
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,Diet: Vegetarian,Course: Lunch,"Karwar Style Ambade Udid Methi Recipe (Hog Plum Curry) is a vegetarian curry from the Karwari Goud Saraswat Brahmin cuisine. Karwar, which is a city in Karnataka lies at the mouth of the river Kali. Coconut, Jaggery, Coriander Seeds and Red Dry Chillies form the base of most of the gravy dishes in the Karwari GSB cuisine. One such gravy made commonly in all homes there is udid methi which can be made using raw mangoes too instead of Ambade.",['Cuisine: Coastal Karnataka'],4.8,"['Karwar Style Valval Recipe', 'Karwar Style Lasani Kadhi Recipe', 'Bibya Usal Recipe']","['Hog Plum (Amtekai)', 'Fresh coconut', 'Turmeric powder (Haldi)', 'Coriander (Dhania) Seeds', 'Black Urad Dal (Split)', 'Rice', 'Methi Seeds (Fenugreek Seeds)', 'Whole Black Peppercorns', 'Dry Red Chilli', 'Jaggery', 'Asafoetida (hing)', 'Karela (Bitter Gourd/ Pavakkai)', 'Salt', 'Oil', 'Oil', 'Mustard seeds (Rai/ Kadugu)', 'Asafoetida (hing)']",25 M, 25 M, 50 M, 4 Servings,"['To begin making the Karwar Style Ambade Udid Methi Recipe (Hog Plum Curry), firstly, scrape away the outer layer of the bitter gourd, clean it from inside and cut it into thin rings.', 'Apply a bit of salt to it (I used 1/4 teaspoon), toss well to coat and keep aside for about an hour to do away with the bitterness of bitter gourd. After an hour, wash the chopped bitter gourd thoroughly and keep aside to drain.', 'Use a little oil and roast the bitter gourd rings on low heat in a kadai till crisp.\xa0Peel and clean the Ambade meanwhile when the bitter gourd is roasting on low heat.', 'Heat a little oil in a kadai (a few drops each time) and lightly roast the coriander seeds, urad dal, methi seeds, rice grains, peppercorns, asafoetida piece and dry red chillies separately on low heat.', 'As soon as each ingredient changes its colour, remove from flame and keep aside to cool.', 'Once cooled, grind all these ingredients in a mixer grinder along with the grated coconut, using required water to form a smooth paste.', 'Add to this paste to a cup of water and mix well to form a semi-thick gravy and pour in the kadai.', 'Now, add turmeric powder, ambade/hog plum/amtekai, jaggery, roasted bitter gourd rings, salt to taste and keep on a high heat stirring occasionally till it reaches boiling point.', 'Once it starts boiling, lower the heat and simmer for about 8-10 minutes or till the ambade are cooked and soft.\xa0If you feel that the gravy has thickened too much by now, just add some water to bring back a medium consistency which is desirable.', 'Check for seasoning and adjust salt and jaggery if required.', 'In a tadka pan, heat a bit of oil for tempering and when the oil is hot, add mustard seeds and asafoetida.\xa0Pour this over the prepared udid methi.', 'Serve Karwar Style Ambade Udid Methi Recipe (Hog Plum Curry) along with\xa0Steamed Rice\xa0and\xa0Sol Kadhi\xa0for a South Indian meal.']"
Goan Bimbla Uddamethi Recipe,Diet: Vegetarian,Course: Lunch,Bimbla Uddamethi or Bilimbi curry is a vegetarian Goan Curry prepared by cooking sour Bimba fruits in Coconut gravy.,['Cuisine: Konkan'],4.9,"['Vali Bhajji Ambat Recipe (Konkan Style Spiced Malabar Spinach Dal Recipe)', 'Mangalorean Padengi Gassi Recipe (Sprouted Moong Dal Curry)', 'Pathravade Recipe (Colocasia Leaves Snack- Patrode)']","['Bimbla (Bilimbi)', 'Fresh coconut', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Jaggery', 'Oil', 'Methi Seeds (Fenugreek Seeds)', 'White Urad Dal (Split)', 'Mustard seeds (Rai/ Kadugu)', 'Curry leaves', 'Asafoetida (hing)', 'Salt']",10 M, 10 M, 20 M, 4 Servings,"['To begin making Goan Bimbla Uddamethi Recipe, wash Bimbla 3-4 times.\xa0Cut them into very small cubes.', 'In a heavy bottomed pan, bring a cup of water to a boil and add the chopped Bimbla. Let the bimbla sit in the boiling water until they soften.', 'Meanwhile, grind grated coconut along with red chili powder and turmeric powder using a spoon of water .', 'Add the coconut paste in the boiled bimbla. Add jaggery to the pan as well.', 'Add some water just to thin it out and allow this mixture to boil.', 'While curry is boiling, prepare the tempering.', 'In a pan heat oil on medium heat. Add Fenugreek seeds, Urad dal, mustard seeds and Curry leaves.\xa0Cover and let the seeds crackle on low heat. Once the mustard seeds have crackled, add asafoetida and remove from heat.', 'Pour this tempering over the boiling curry.', 'Add salt as per your taste. Stir the mixture until everything combines.', 'Remove from heat and Bimbla Uddamethi is ready', 'Serve Bimbla Uddamethi with Steamed Rice and\xa0Mixed Vegetables Ajethna Recipe (Mangalorean Style Mixed Vegetables Sabzi) for a complete meal.']"
Waldorf Salad Recipe,Diet: Vegetarian,Course: Appetizer,"Waldorf Salad Recipe is a most common salad that consist of apples, grapes, celery and walnuts which are dressed in mayonnaise and then served over a bed of lettuce. At Archana’s kitchen we always try to think of adding a healthy twist to the recipes to keep it nutritious. So we have decided to make salad that consist of same ingredients but the dressing has been made healthy by adding fresh yogurt and lowfat cream. This will still keep the salad rich and creamy.",['Cuisine: Continental'],4.9,"['Vegetarian Mexican Tacos With Baked Beans, Roasted Peppers and Salad', 'Grilled Winter Vegetable Salad Recipe', 'Grilled Winter Vegetable Salad Recipe']","['Apple', 'Celery', 'Red grapes', 'Walnuts', 'Hung Curd (Greek Yogurt)', 'Fresh cream', 'Salt and Pepper']",30 M," 0 M
", 30 M, 4 Servings,"['To begin making the Waldorf Salad Recipe, keep all the ingredients ready in a bowl.', 'Add cream and yogurt in, sprinkle with salt and pepper and mix well till everything is well coated.', 'You can serve it as it is or store it in the fridge and serve cold.', 'Serve the Waldorf Salad Recipe along with\xa0beetroot wellington\xa0and a glass of\xa0cocktail\xa0by the side to complete your meal.']"
Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf),Diet: High Protein Non Vegetarian,Course: Side Dish,"Bengali Bhetki Macher Paturi Recipe is Bengali Style Barramundi Fish cooked by wrapping in banana leaf. The bhetki fish pieces are marinated in a spiced mustard paste, wrapped in banana leaf individually and then slow cooked till tender. The word ""Paturi"" means leaf, in Bengali. Generally we Bengalis make paturi using  Ilish (hilsa fish), Bhetki (Barramundi fish) and chingri (prawn). This is a delicious recipe with the bhetki fish. Try savouring this Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf) along with plain steamed rice, or Pudina Rice Recipe (Spicy Mint Pulao), along with Bengali Style Cholar Dal Recipe and Sweet and Spicy Tomato Chutney Recipe.",['Cuisine: Bengali Recipes'],4.9,"['Doi Bhetki Recipe (Yogurt Fish Curry)', 'Bengali Bhetki Begum Bahar Recipe (Spicy Fish Fillets Curry)', 'Croquettes Recipe With Bhetki Fish']","['Bhetki fish', 'Mustard seeds (Rai/ Kadugu)', 'Poppy seeds', 'Fresh coconut', 'Green Chillies', 'Turmeric powder (Haldi)', 'Salt', 'Banana leaf', 'Mustard oil']",15 M, 25 M, 40 M, 4 Servings,"['To begin making Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf), mix the fish pieces with half teaspoon turmeric powder and \xa0salt \xa0in a bowl.', 'In a mixer grinder, make a paste of mustard seeds, poppy seeds and green chilies by adding a little bit of water.', 'Take the grated coconut in a bowl. Add mustard seeds paste, a bit of salt to taste and remaining turmeric powder. Mix and make a fine mixture with a fork.', 'Cover and keep them in the fridge for an hour.', 'Remove the fish from the fridge and mix with a teaspoon of mustard oil.', 'Stir gently, warm the banana leaves over an open flame for 30 seconds, make sure it does not get burnt.', 'Put banana leave pieces glossy side up over a plate, rub a little mustard oil on it. Now spread a teaspoon of marinated paste in the center of the banana leaf, place one piece of fish on the paste and put another teaspoon of paste on the top of fish piece so as to cover the fish piece by the paste from both sides then place a green chilli on top of it.', 'Fold the banana leaf to make it a square parcel and tie with thread that the parcels will not open while cooking. Repeat the process for all the fish pieces.', 'Now take a non-stick pan and grease some oil on it and place the banana leaf wrapped fish pieces on it (you can place 4 - 5 pieces at a time ,according to the size of your pan), close the pan with a heavy lid and cook on medium heat for 8-9 minutes on each side on a medium heat.', 'When one batch is done , remove them and place in a casserole to keep the paturi hot. Again repeat the same process to cook the rest of the macher paturi.', 'Serve the freshly prepared steaming hot Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf) along with plain steamed rice, or\xa0Pudina Rice Recipe (Spicy Mint Pulao), along with\xa0Bengali Style Cholar Dal Recipe\xa0and\xa0Sweet and Spicy Tomato Chutney Recipe.']"
